fold,mae,IC,best_iter
1,0.03748812305893911,0.07763182870721731,140
2,0.03618155502847777,0.0589410365850082,45
3,0.040655668686357956,0.09717365996078534,185
4,0.039224288714309594,0.10002030129593019,235
5,0.03651768045116382,0.09101297599852903,222
