,mcap_cr
MACPOWER,853.45
MAHLIFE,6914.58
LYPSAGEMS,13.79
MAHEPC,296.27
MAHESHWARI,126.32
MAMATA,868.04
MAHABANK,47933.77
MANAKALUCO,155.97
MAHLOG,3462.86
MANAKCOAT,1069.38
MAITHANALL,2516.98
MAHSCOOTER,13605.19
MANCREDIT,356.45
MANGALAM,46.16
MANAKSIA,309.98
MANYAVAR,8219.78
MALUPAPER,51.39
MANALIPETC,727.11
MANORAMA,7209.21
MANGLMCEM,2225.52
MANINFRA,3463.46
MAHSEAMLES,7205.14
MANOMAY,361.48
MANKIND,79568.53
MANAKSTEEL,315.42
MANINDS,2528.95
MARATHON,2743.0
MANBA,549.62
MARINE,2144.8
MANUGRAPH,36.32
MARALOVER,161.34
MAPMYINDIA,4711.54
MANAPPURAM,21355.55
MASKINVEST,42.59
MANORG,340.18
MASFIN,5322.03
MATRIMONY,847.17
MARICO,93966.92
MBEL,1417.28
MARUTI,388444.38
MAYURUNIQ,2146.68
MASTEK,4285.69
MARKOLINES,325.25
MAZDA,344.25
MASTERTR,766.39
MCLEODRUSS,337.68
MARKSANS,7259.68
MEDICO,290.03
MAXHEALTH,93119.29
MEESHO,64027.79
MBLINFRA,310.57
MAWANASUG,322.35
MBAPL,3868.73
MCLOUD,1224.66
MAXESTATES,5561.23
MCX,58904.74
MAXIND,726.5
MFSL,54130.72
MEDICAMEQ,325.71
MFML,23.41
MEP,16.33
MAZDOCK,89013.86
MEDIASSIST,2272.23
METROBRAND,24651.36
MEGASTAR,280.22
MCL,157.75
MEIL,603.25
MINDACORP,11552.69
MEDPLUS,9596.04
MHLXMIRU,171.96
MENONBE,630.84
MIDWESTLTD,4293.01
MGEL,385.91
MEDANTA,26052.85
MGL,8972.97
METROPOLIS,9333.9
MIDHANI,5516.21
MOIL,5804.42
MICEL,754.61
MHRIL,5013.13
MKPL,176.17
MODIRUBBER,284.92
MITTAL,43.06
MIRCELECTR,863.94
MITCON,92.75
MMP,525.02
MMFL,1995.0
MOBIKWIK,1367.87
MINDTECK,516.18
MODTHREAD,156.35
MODIS,593.22
MOL,1026.99
MMTC,8365.46
MOTHERSON,112499.8
MODINATUR,385.82
MODISONLTD,371.84
MONEYBOXX,407.96
MOHITIND,29.69
MOLDTECH,332.96
MOKSH,82.41
MOTISONS,1216.9
MIRZAINT,381.3
MONTECARLO,1032.15
MONARCH,1946.43
MOSCHIP,3030.7
MORARJEE,22.74
MOREPENLAB,1935.92
MOTOGENFIN,77.06
MPHASIS,39345.85
MOLDTKPAC,1587.51
MPSLTD,2452.26
MSUMI,23801.03
MRPL,32134.74
MURUDCERA,171.54
MTARTECH,10379.51
MRF,53003.68
MUFIN,1967.19
MSTCLTD,2757.39
MTNL,1464.75
MWL,748.61
MUKTAARTS,88.76
MOTILALOFS,37854.0
MUNJALAU,707.89
MSPL,1589.86
MUTHOOTFIN,125152.08
MTEDUCARE,9.82
NAGAFERT,229.66
MUFTI,473.8
MUKKA,609.6
MUTHOOTCAP,297.4
NAHARPOLY,553.66
MUTHOOTMF,2488.95
NAHARCAP,351.69
MUKANDLTD,1741.15
NAHARINDUS,376.87
NAM-INDIA,52084.68
MVGJL,685.62
NACLIND,3067.91
NAHARSPING,728.7
MUNJALSHOW,467.94
NBCC,21354.3
NAGREEKCAP,29.62
NAVKARURB,94.9
NAUKRI,63111.86
NARMADA,119.33
NAVNETEDUL,2741.71
NCLIND,735.71
NAVKARCORP,1207.92
NATCAPSUQ,155.08
NAGREEKEXP,63.78
NATHBIOGEN,255.43
NAVINFLUOR,30214.12
NATCOPHARM,16617.33
NATIONALUM,64307.73
NAVA,15408.0
NDRAUTO,1526.38
NAZARA,8063.17
NDGL,263.15
NESCO,7173.85
NCC,8305.78
NDLVENTURE,379.28
NECCLTD,120.2
NECLIFE,202.42
NBIFIN,512.02
NEUEON,86.51
NELCAST,1032.53
NDL,300.84
NETWEB,17596.66
NEPHROPLUS,5027.07
NEOGEN,3296.65
NELCO,1228.95
NDTV,744.87
NEWGEN,5920.84
NH,32995.6
NETWORK18,4511.45
NEULANDLAB,14839.84
NESTLEIND,224995.72
NEXTMEDIA,26.08
NIITLTD,741.38
NFL,3311.56
NIACL,20559.46
NITINSPIN,1987.66
NIITMTS,3994.32
NILKAMAL,1687.23
NIVABUPA,12634.84
NIRAJISPAT,12.24
NIBE,1332.16
NOIDATOLL,59.53
NORTHARC,3568.82
NIBL,68.17
NPST,2212.05
NGLFINE,1275.04
NILASPACES,467.94
NKIND,41.98
NHPC,75619.02
NIPPOBATRY,207.63
NRL,326.42
NLCINDIA,35192.84
NSIL,2631.73
NOVAAGRI,192.01
NURECA,222.47
NILAINFRA,267.84
NIRAJ,140.94
NITCO,1746.78
NITIRAJ,221.59
NUCLEUS,2031.39
NINSYS,532.39
NRAIL,661.96
NOCIL,2678.08
NMDC,66017.75
OBCL,114.06
NUVOCO,10091.61
NORBTEAEXP,139.9
NRBBEARING,2213.13
OBEROIRLTY,51330.14
NTPC,361103.84
NSLNISP,10065.97
OIL,75607.05
OCCLLTD,415.29
OILCOUNTUB,203.28
NTPCGREEN,81634.28
NYKAA,67242.27
NUVAMA,20226.25
ODIGMA,66.49
OMFREIGHT,229.67
OAL,804.95
OFSS,56090.32
OLAELEC,9789.72
ORCHASP,71.06
OMAXE,1252.1
ONESOURCE,15985.66
OMAXAUTO,200.97
ONGC,333943.53
OMKARCHEM,8.09
ORTEL,5.74
OLECTRA,8405.07
ORCHPHARMA,2586.09
ONEPOINT,1131.36
ORKLAINDIA,7812.5
ORISSAMINE,1974.78
ORICONENT,1001.02
ORBTEXP,381.76
ORIENTHOT,1607.39
OSIAHYPER,78.17
ORIENTALTL,36.61
OMINFRAL,774.9
ONELIFECAP,20.92
ORIENTCEM,2556.71
ORIENTLTD,57.66
ONMOBILE,494.44
ORIENTPPR,318.7
ORTINGLOBE,12.03
OSWALGREEN,589.12
OPTIEMUS,2868.64
ORIENTELEC,3413.6
PALASHSECU,86.22
OSWALSEEDS,103.36
ONWARDTEC,505.28
PACEDIGITK,3354.11
ORIENTCER,433.57
PAGEIND,34983.02
OSWALAGRO,533.58
ORIENTBELL,379.1
PANSARI,464.87
PAISALO,3110.56
ORIENTTECH,1135.3
OSWALPUMPS,3377.15
PAR,104.32
PANACEABIO,1972.58
PAKKA,385.89
PARASPETRO,82.55
PANAMAPET,1531.4
PARSVNATH,285.01
PARAGMILK,2264.18
PALREDTEC,33.82
PARACABLES,990.43
PASUPTAC,374.8
PANACHE,449.23
PARADEEP,11030.56
PARKHOTELS,2201.17
PARAS,4711.14
PARKHOSPS,8112.53
PATANJALI,50474.52
PATELENG,2257.22
PAUSHAKLTD,
PASHUPATI,1540.2
PAVNAIND,240.69
PEARLPOLY,24.04
PDSL,3596.84
PATINTLOG,62.63
PENINLAND,489.3
PHOENIXLTD,52836.94
PAYTM,63543.73
PFOCUS,21976.05
PDMJEPAPER,646.8
PERSISTENT,73875.08
PFC,131344.05
PFIZER,20860.97
PCJEWELLER,6285.13
PGIL,6393.07
PIGL,184.83
PETRONET,35707.5
PFS,1710.14
PCBL,9134.23
PATELRMART,531.2
PGEL,14077.85
PGHH,30694.87
PICCADIL,5192.56
PENIND,1810.17
PILANIINVS,5072.31
PIRAMALFIN,41169.04
PGHL,8002.89
PLATIND,1076.31
PINELABS,18445.91
PILITA,164.74
PIDILITIND,133826.09
PITTIENG,2761.05
PIONEEREMB,71.59
POLYCAB,102406.35
PNCINFRA,4454.03
PIIND,41909.54
PLASTIBLEN,335.34
POLICYBZR,66440.76
PKTEA,249.22
PNGJL,7488.32
PIXTRANS,1912.95
PODDARMENT,222.98
PONNIERODE,225.58
PNBGILTS,1165.21
PNC,27.57
POCL,3126.69
PLAZACABLE,137.29
PPL,443.52
POONAWALLA,30398.51
PNB,121327.65
PPLPHARMA,17645.73
POKARNA,2482.71
POWERINDIA,108190.27
POLYMED,12239.44
POWERGRID,280971.25
PRABHA,2081.83
PRAKASHSTL,71.42
POWERMECH,5868.93
PRAENG,126.16
PRECWIRE,5336.59
PRAKASH,2036.47
POLYPLEX,2539.49
PNBHOUSING,19557.68
PRAXIS,116.49
PRAJIND,5733.13
PRICOLLTD,6226.93
PRECAM,1032.4
PRECOT,564.54
PREMIER,8.81
PRESTIGE,50765.86
PPAP,273.12
PREMIERPOL,606.77
PRUDMOULI,37.99
PREMIERENE,38917.84
PRITI,49.57
PRSMJOHNSN,6292.46
PREMEXPLN,2128.78
PROZONER,653.9
PRITIKAUTO,186.99
PRIMO,408.52
PRIVISCL,11135.22
PRIMESECU,907.85
PSB,15284.65
PTCIL,25394.38
PRINCEPIPE,2471.51
PSPPROJECT,2410.4
PURVA,3964.43
PVRINOX,9249.45
PRUDENT,8954.51
PWL,24816.41
QPOWER,6170.36
PTL,485.82
PTC,4709.2
PYRAMID,514.18
QUADFUTURE,1143.0
PVSL,622.34
PROSTARM,761.48
PUNJABCHEM,1209.21
PVP,641.34
RADHIKAJWE,653.83
PROTEAN,2004.23
RADICO,34925.35
RACE,169.59
QUESS,2534.76
RACLGEAR,1390.15
RAMCOIND,2085.07
RAINBOW,11228.13
QUINTEGRA,4.78
RAJOOENG,917.14
RADIOCITY,170.27
RADAAN,15.89
RADIANTCMS,365.47
RAJRILTD,1147.01
RANASUG,165.85
QUICKHEAL,737.41
RAIN,3459.65
RALLIS,4432.92
RAILTEL,8129.37
RAJMET,92.62
RAJESHEXPO,2639.28
RAJRATAN,1764.08
RAJSREESUG,85.85
RAMRAT,2786.0
RAMAPHO,384.96
RATEGAIN,5510.29
RAJTV,191.72
RAMCOSYS,1389.55
RAMANEWS,451.64
RAYMOND,2312.99
RAMKY,3092.1
RANEHOLDIN,1469.76
RATNAMANI,15187.35
RAMASTEEL,749.31
RAMCOCEM,20496.0
RBA,3470.68
RCOM,234.98
RCF,6070.78
RAYMONDREL,2493.02
REDINGTON,16096.74
RAYMONDLSL,4772.42
REGENCERAM,101.03
RECLTD,83340.05
RBZJEWEL,443.72
REGAAL,682.7
REFEX,2594.58
RBLBANK,17881.96
RATNAVEER,908.1
REDTAPE,6225.72
RELIGARE,6694.76
RENUKA,5139.64
RELAXO,6344.2
REPCOHOME,2105.82
RESPONIND,3735.72
RHETAN,1941.98
RITCO,529.55
RELINFRA,3008.55
RICOAUTO,1394.22
RELIABLE,116.93
RELIANCE,1905101.56
RHIM,7033.44
REMSONSIND,283.14
RELCHEMQ,87.61
RELTD,2221.28
REPRO,497.21
RETAIL,14.88
RHFL,125.4
RPOWER,8672.71
ROLLT,31.01
REPL,114.35
ROML,63.45
RKDL,41.38
RKEC,75.98
RNBDENIMS,712.59
RMDRIP,1016.94
ROUTE,2806.23
RISHABH,1396.79
RITES,8842.15
ROHLTD,794.59
ROTO,997.64
ROLEXRINGS,3061.02
RKFORGE,8378.83
RIIL,995.17
RHL,286.84
RML,1892.18
ROSSTECH,2550.06
RGL,924.93
RPPL,110.02
RPGLIFE,2884.4
RPTECH,2254.43
ROSSARI,2153.03
ROSSELLIND,171.72
RPSGVENT,1852.34
RPEL,2716.84
RRKABEL,14885.23
RKSWAMY,397.0
RPPINFRA,309.29
RSSOFTWARE,66.93
RUDRA,156.03
RSWM,599.75
RUBICON,12642.94
RSYSTEMS,2987.91
RTNPOWER,4253.12
RUBYMILLS,667.8
RUSTOMJEE,4678.84
SADBHIN,86.3
RVTH,166.95
RUPA,937.75
RTNINDIA,3548.88
RVHL,205.27
SAATVIKGL,4565.61
SABEVENTS,10.97
RVNL,52192.23
S&SPOWER,401.1
SADHNANIQ,170.22
SAGCEM,2014.07
RUBFILA,323.05
NGIL,39.89
SADBHAV,126.96
RUCHIRA,300.03
SAILIFE,20926.93
SAFARI,7264.58
SAKAR,1109.68
RUSHIL,459.49
SAMBHAAV,104.35
RAJVIR,3.76
SALONA,141.8
SAHYADRI,244.92
SAMMAANCAP,10605.58
SAKUMA,214.21
SALSTEEL,504.22
RUCHINFRA,115.38
SAGILITY,17016.63
SAKHTISUG,164.6
SAKSOFT,1467.08
SALZERELEC,923.13
SAIL,59083.03
SALASAR,1074.46
SAMBHV,2685.04
SAMPANN,127.54
SAMHI,2956.2
SANCO,2.53
SANDUMA,8343.13
SANGHVIMOV,2108.7
SANGINITA,44.94
SANDESH,666.18
SANOFI,7441.09
SANOFICONR,9394.45
SANDHAR,2702.54
SANATHAN,3088.34
SARVESHWAR,350.08
SAREGAMA,6360.7
SANSERA,12723.78
SANWARIA,33.29
SANGAMIND,2060.48
SANGHIIND,1227.31
SBGLP,417.46
SANSTAR,1423.87
SAPPHIRE,4970.52
SBICARD,62171.11
SARLAPOLY,648.32
SASTASUNDR,883.53
SBILIFE,183782.77
SAURASHCEM,613.75
SASKEN,1661.1
SBFC,9344.31
SARDAEN,17115.16
SCILAL,1837.58
SCODATUBES,699.02
SBC,1446.19
SATIN,1568.65
SBIN,952507.45
SATIA,571.3
SCPL,304.78
SCHAEFFLER,61764.96
SEMAC,85.97
SEAMECLTD,3369.13
SCHNEIDER,20723.15
SCHAND,497.37
SEJALLTD,487.9
SECURKLOUD,73.1
SERVOTECH,1471.15
SENORES,3270.96
SECMARK,114.24
SELMC,94.86
SDBL,1462.26
SESHAPAPER,1530.03
SCI,10207.99
SETCO,219.9
SEPC,903.65
SETUINFRA,4.9
SGMART,5611.73
SBCL,2278.53
SENCO,4668.09
SEYAIND,30.53
SHAILY,10162.37
SGFIN,2146.65
SGIL,759.43
SHAKTIPUMP,5815.75
SFL,5282.8
SHALPAINTS,340.45
SHAH,388.61
SHAREINDIA,2574.7
SGL,27.58
SHANTI,6.5
SHEKHAWATI,37.26
SHANKARA,252.82
SHANTIGEAR,3342.04
SHANTIGOLD,1271.27
SHAHALLOYS,113.64
SHALBY,1411.92
SHARDACROP,8235.8
SHIVAMAUTO,199.29
SHILCTECH,4316.16
SHREDIGCEM,820.38
SHIVAMILLS,44.1
SHARDAMOTR,4284.91
SHIVATEX,180.34
SHRIPISTON,12941.84
SHEMAROO,254.9
SHILPAMED,6109.95
SHREECEM,81993.5
SHK,1677.24
SHREYANIND,190.83
SHIVAUM,469.42
SIGNPOST,1196.21
SHREERAMA,571.07
SHRENIK,24.48
SHRIRAMPPS,1131.08
SHRADHA,172.68
SIEMENS,106419.49
SHIVALIK,330.08
SIGNATURE,10207.4
SHYAMCENT,90.81
SIGIND,122.13
SHRINGARMS,1681.29
SHOPERSTOP,3166.97
SHRIRAMFIN,165141.73
SICALLOG,519.62
SHREEPUSHK,892.85
SIGACHI,691.92
SHYAMMETL,21640.61
SHREEJISPG,5609.28
SAGARDEEP,38.6
SHYAMTEL,9.68
SILVERTUC,1482.41
SIGMA,394.18
SILGO,185.81
SINDHUTRAD,3444.12
SILINV,417.58
SINCLAIR,366.46
SIKKO,197.43
SIMPLEXINF,1201.7
SJVN,26141.0
SIRCA,2269.63
SIMBHALS,30.61
SIL,87.23
SMLT,87.5
SILLYMONKS,15.86
SMLMAH,5568.4
SOMATEX,311.48
SNOWMAN,531.9
SIYSIL,2132.28
SJS,4855.92
SMCGLOBAL,1287.6
SINTERCOM,197.04
SKIPPER,3761.37
SOLARINDS,112479.14
SOLARWORLD,1274.61
SKIL,20.14
SOMANYCERA,1480.11
SITINET,35.8
SKYGOLD,5016.37
SKFINDUS,10480.35
SIS,3725.99
SKFINDIA,7238.71
SOLEX,1052.49
SKMEGGPROD,798.79
SMARTWORKS,4273.97
SOLARA,2092.09
SOTL,2227.19
SMSPHARMA,3453.42
SOMICONVEY,111.53
SOBHA,12826.18
SPCENET,201.59
SPARC,3527.87
SMARTLINK,114.45
SONAMLTD,213.85
SOUTHWEST,588.66
SOFTTECH,355.12
SONACOMS,30156.47
SPENCERS,252.5
SONATSOFTW,6243.38
SPIC,1192.72
SOUTHBANK,8796.89
SRD,269.94
SPAL,1717.71
SREEL,419.51
SPLPETRO,11966.95
SPECTRUM,2241.11
SPMLINFRA,1204.93
STALLION,1264.87
SRPL,12.08
SSWL,2844.02
SSDL,214.23
SPLIL,72.53
SRGHFL,374.8
STANLEY,792.5
SPORTKING,1426.58
SRHHYPOLTD,712.08
SRF,70890.0
STARTECK,246.79
STEELCAS,
SUNDRMFAST,
STARHEALTH,
STCINDIA,
SULA,
STAR,
SUMMITSEC,
STOVEKRAFT,
SUBROS,
SUMIT,
STYRENIX,
SUMICHEM,
STARPAPER,
SUNDARAM,
SUNDROP,
SPECIALITY,432.74
SUNPHARMA,
STERTOOLS,
STLTECH,
SUNDRMBRAK,
STARCEMENT,
SUMEETINDS,
SUDARSCHEM,5972.93
STEELCITY,
SUNDARMFIN,
SURYALAXMI,
SURYAROSNI,
SUPREMEENG,
SURYODAY,
SUTLEJTEX,
SUVEN,
SUBEXLTD,
SUDEEPPHRM,
SVPGLOB,
STYLEBAAZA,
SUNTV,
SURAJLTD,
SUPRIYA,
SURAJEST,
SRM,
SYRMA,
STEELXIND,
SUPERSPIN,
SUPRAJIT,
SPANDANA,
STYL,
SUKHJITS,
STEL,
STYLAMIND,
STLNETWORK,
SUPREMEIND,
STUDDS,
SUPREME,
SUNCLAY,
SUPERHOUSE,
SUPREMEINF,
SUVIDHAA,
SUZLON,
SVLL,
SWARAJENG,
SUNFLAG,
SWIGGY,
SWSOLAR,
SYNCOMF,
SYNGENE,
SUYOG,
SWANCORP,
SWELECTES,
SYMPHONY,
SWANDEF,
TATASTEEL,
TATVA,
TBOTEK,
TCI,
TANLA,
SURAKSHA,
TEAMGTY,
TCS,
TARIL,
TECILCHEM,
TARMAT,
TAINWALCHM,
TATACAP,
TATACONSUM,
TATACHEM,
TASTYBITE,
TATACOMM,
TARSONS,
TALBROAUTO,
TATAINVEST,
SYSTMTXC,
TATAELXSI,
TAKE,
TATAPOWER,
SURANAT&P,
TARACHAND,
SURANASOL,
TCIEXP,
TDPOWERSYS,
TAJGVK,
TARC,
TCIFINANCE,
SUNTECK,
TECHM,
TIGERLOGS,
TARAPUR,
TEXRAIL,
TENNIND,
THEJO,
TFCILTD,
THERMAX,
TBZ,
THANGAMAYL,
THOMASCOOK,
THELEELA,
TCPLPACK,
THEINVEST,
TGBHOTELS,
TFL,
TEAMLEASE,
TATATECH,
THEMISMED,
TOKYOPLAST,
TEXINFRA,
TEGA,
TEXMOPIPES,
TEMBO,
TERASOFT,
TEJASNET,
TOTAL,
THOMASCOTT,
TIMETECHNO,
TIL,
TIRUMALCHM,
TINNARUBR,
TIJARIA,
TIIL,
TMCV,
TIPSFILMS,
TMB,
TIPSMUSIC,
TITAGARH,
TMPV,
TIRUPATIFL,
TNPL,
TITAN,
THYROCARE,
TI,
TNPETRO,
TICL,
TOLINS,
TORNTPOWER,
TIINDIA,
TECHNOE,
TORNTPHARM,
TIMKEN,
TVSHLTD,
TPLPLASTEH,
TRAVELFOOD,
TRANSRAILL,
TREJHARA,
TREL,
TRIDENT,
TREEHOUSE,
TRITURBINE,
TRUALT,
TNTELE,
TRF,
TRIVENI,
TSFINV,
TRIGYN,
TTML,
TTKHLTCARE,
TVSELECT,
TTKPRESTIG,
TOUCHWOOD,
TTL,
TRACXN,
UNIINFO,
TPHQ,
TRENT,
TVSSRICHAK,
UNIPARTS,
UNITDSPR,
UNITEDPOLY,
UNITECH,
TRANSWORLD,
UJJIVANSFB,
UMIYA-MRO,
UMAEXPORTS,
UNICHEMLAB,
UMESLTD,
UNIDT,
UNIECOM,
TVSSCS,
UNIMECH,
UNIONBANK,
UCAL,
UBL,
UEL,
UGARSUGAR,
TVSMOTOR,
UDS,
UGROCAP,
UFBL,
TRU,
ULTRACEMCO,
TVVISION,
TVTODAY,
UNITEDTEA,
UFO,
UFLEX,
UCOBANK,
UNOMINDA,
UPL,
UNIVAFOODS,
USHAMART,
UTIAMC,
USK,
UNIVCABLES,
UNIVPHOTO,
UTKARSHBNK,
URJA,
URBANCO,
URAVIDEF,
UTLSOLAR,
VEEDOL,
UNIVASTU,
VADILALIND,
VERANDA,
VERTOZ,
VHLTD,
VALIANTORG,
VARROC,
UYFINCORP,
V2RETAIL,
VINCOFE,
VINATIORGA,
UTTAMSUGAR,
VAIBHAVGBL,
VAKRANGEE,
VAISHALI,
VALIANTLAB,
VENUSPIPES,
VENKEYS,
VESUVIUS,
VENUSREM,
VIDYAWIRES,
VGL,
VASCONEQ,
VARDHACRLC,
VIKRAMSOLR,
VIKASECO,
VIKRAN,
VARDMNPOLY,
VIKASLIFE,
VIMTALABS,
VEDL,
UNIENTER,
VASWANI,
VIPCLOTHNG,
VBL,
VINNY,
VIPIND,
VHL,
VISAKAIND,
VIPULLTD,
VIRINCHI,
VENTIVE,
VISHWARAJ,
VETO,
VISHNU,
VCL,
VISASTEEL,
VIDHIING,
VGUARD,
VIJIFIN,
VIJAYA,
WAAREERTL,
VLEGOV,
VMSTMT,
WEALTH,
WEIZMANIND,
WEBELSOLAR,
VOLTAMP,
WEWIN,
WESTLIFE,
WHIRLPOOL,
VLSFINANCE,
VIVIDHA,
VSTTILLERS,
VRLLOG,
VTL,
VSTL,
VINEETLAB,
VITAL,
VSTIND,
WAAREEINDO,
WAAREEENER,
VIVIMEDLAB,
VINYLINDIA,
VMM,
WALCHANNAG,
WCIL,
VMART,
VINDHYATEL,
VRAJ,
VOLTAS,
WENDT,
VSSL,
WHEELS,
WILLAMAGOR,
VPRPL,
WANBURY,
WEWORK,
WELSPUNLIV,
WINSOME,
WORTHPERI,
WINDLAS,
WIPL,
WINDMACHIN,
WIPRO,
WABAG,
WOCKPHARMA,
WSI,
WAKEFIT,
WELENT,
WSTCSTPAPR,
WEL,
ZYDUSWELL,
WELINV,
XELPMOC,
ZENSARTECH,
ZFCVINDIA,
XTGLOBAL,
XCHANGING,
YASHO,
XPROINDIA,
ZODIACLOTH,
ZUARI,
ZYDUSLIFE,
YESBANK,
ZENTEC,
ZAGGLE,
ZUARIIND,
ZODIAC,
WELCORP,
YATRA,
YATHARTH,
YUKEN,
ZOTA,
ZENITHSTL,
ZENITHEXPO,
ZEEL,
ZEEMEDIA,
ZEELEARN,
ZIMLAB,
WONDERLA,
