,mcap_cr
BAYERCROP,20185.56
BDL,42466.27
BATAINDIA,8042.61
BCLIND,758.24
BEARDSELL,92.76
BEDMUTHA,353.42
BEML,11655.78
BELRISE,16299.92
BELLACASA,345.0
BETA,1077.9
BESTAGRO,492.75
BEPL,2057.24
BERGEPAINT,47390.14
BEL,296411.53
BHAGERIA,592.47
BGRENERGY,1998.15
BFINVEST,1316.04
BHAGCHEM,2374.43
BGLOBAL,4.76
BFUTILITIE,1524.17
BHANDARI,67.99
BHARATRAS,2054.7
BHARTIARTL,1093967.4
BHARATWIRE,1057.99
BHARATSE,934.59
BHAGYANGR,435.45
BHARATGEAR,142.72
BIKAJI,15306.11
BIGBLOC,655.78
BHARATFORG,78817.69
BIL,905.27
BHARTIHEXA,78785.0
BHEL,88043.97
BILVYAPAR,19.01
BIRLANU,917.89
BIOCON,59453.75
BIRLAMONEY,586.43
BIOFILCHEM,48.0
BLACKBUCK,10664.17
BIRLACABLE,345.63
BLBLIMITED,83.47
BLKASHYAP,1044.21
BIRLACORPN,6201.18
BLSE,1363.17
BLAL,672.09
BLUEJET,5920.37
BLUECOAST,36.62
BLISSGVS,2058.24
BOHRAIND,17.59
BMWVENTLTD,474.42
BLUECHIP,18.23
BLUESTARCO,33328.33
BLS,9129.25
BLUESTONE,7927.62
BOMDYEING,1982.32
BLUEDART,11703.8
BLUSPRING,748.94
BOSCH-HCIL,3366.26
BODALCHEM,715.49
BOROLTD,2578.19
BORORENEW,5591.43
BORANA,891.55
BOROSCI,914.12
BOSCHLTD,85954.4
BPL,217.55
BRIGHOTEL,2190.55
BRITANNIA,132236.69
BRIGADE,15524.35
BPCL,117703.65
BSOFT,9480.18
BSL,119.1
BRNL,154.13
BTML,105.95
BROOKS,135.78
BSHSL,802.67
BVCL,83.46
BSE,110239.67
CAMLINFINE,2126.26
CANBK,117519.36
BUTTERFLY,1121.49
CANHLIFE,13396.9
CALSOFT,74.19
BYKE,151.19
CAMS,15445.78
CAMPUS,6697.07
CANTABIL,1868.89
CANFINHOME,10935.56
CAPACITE,1788.8
CAPILLARY,3773.65
CARBORUNIV,14391.71
CARRARO,2405.39
CCHHL,187.66
CAPITALSFB,1013.52
CCL,14224.22
CAPTRUST,40.14
CARYSIL,2131.2
CAPLIPOINT,11880.11
CDSL,23696.42
CCCL,639.76
CARTRADE,8118.28
CASTROLIND,17536.15
CEATLTD,13661.25
CEIGALL,4588.74
CARERATING,4244.14
CELEBRITY,40.3
CENTRUM,1097.44
CEMPRO,8756.01
CEWATER,553.0
CENTUM,4055.09
CENTEXT,147.72
CENTURYPLY,14384.59
CELLO,8784.82
CENTRALBK,29487.12
CENTENKA,867.85
CESC,19711.23
CEREBRAINT,50.33
CERA,5908.64
CGCL,15373.3
CHAMBLFERT,16587.01
CGPOWER,104590.27
