,value
Start Value,30000.0
End Value,580861.232896768
Total Return [%],1836.2041096558933
Max Drawdown [%],-11.093040217641425
Sharpe Ratio,6.631557107906679
Win Rate [%],60.691823899371066
Total Trades,318.0
Avg Winning Trade [%],14.758777626079308
Avg Losing Trade [%],-5.412556677683127
