Date,close,ema20,ema50,regime
2019-06-03,12088.5498046875,12088.5498046875,12088.5498046875,CAUTION
2019-06-04,12021.650390625,12082.178431919641,12085.926298253677,BEARISH
2019-06-06,11843.75,12059.470962213009,12076.42918851824,BEARISH
2019-06-07,11870.650390625,12041.488050633197,12068.359431738114,BEARISH
2019-06-10,11922.7001953125,12030.174921555037,12062.647304819464,BEARISH
2019-06-11,11965.599609375,12024.024891823605,12058.841512841249,BEARISH
2019-06-12,11906.2001953125,12012.803492155881,12052.855578820514,BEARISH
2019-06-13,11914.0498046875,12003.398379063654,12047.412215129025,BEARISH
2019-06-14,11823.2998046875,11986.246133884973,12038.623493150926,BEARISH
2019-06-17,11672.150390625,11956.3322535745,12024.251998934224,BEARISH
2019-06-18,11691.5,11931.110134186452,12011.202900936803,BEARISH
2019-06-19,11691.4501953125,11908.285378103219,11998.663579147616,BEARISH
2019-06-20,11831.75,11900.996294474342,11992.11794859281,BEARISH
2019-06-21,11724.099609375,11884.148991131548,11981.607425486229,BEARISH
2019-06-24,11699.650390625,11866.57769584521,11970.55028686422,BEARISH
2019-06-25,11796.4501953125,11859.898886270665,11963.722832293564,BEARISH
2019-06-26,11847.5498046875,11858.722783262745,11959.167027289406,BEARISH
2019-06-27,11841.5498046875,11857.087261493674,11954.554587187371,BEARISH
2019-06-28,11788.849609375,11850.588437482373,11948.056352763357,BEARISH
2019-07-01,11865.599609375,11852.018072900717,11944.822754983421,CAUTION
2019-07-02,11910.2998046875,11857.568714023268,11943.468913795346,CAUTION
2019-07-03,11916.75,11863.205026973432,11942.421113254351,CAUTION
2019-07-04,11946.75,11871.1616910712,11942.590873518888,CAUTION
2019-07-05,11811.150390625,11865.446329123943,11937.436344777952,BEARISH
2019-07-08,11558.599609375,11836.222832004994,11922.580002213132,BEARISH
2019-07-09,11555.900390625,11809.525456635472,11908.200409601834,BEARISH
2019-07-10,11498.900390625,11779.942117015427,11892.149428465487,BEARISH
2019-07-11,11582.900390625,11761.176238311577,11880.02201521684,BEARISH
2019-07-12,11552.5,11741.30231085333,11867.178014620102,BEARISH
2019-07-15,11588.349609375,11726.735386903014,11856.243567355588,BEARISH
2019-07-16,11662.599609375,11720.62721761463,11848.649686650468,BEARISH
2019-07-17,11687.5,11717.472244508475,11842.330091095548,BEARISH
2019-07-18,11596.900390625,11705.989210805288,11832.705396959447,BEARISH
2019-07-19,11419.25,11678.680714538117,11816.491459823783,BEARISH
2019-07-22,11346.2001953125,11647.015903183295,11798.048665137067,BEARISH
2019-07-23,11331.0498046875,11616.923893802745,11779.734984335122,BEARISH
2019-07-24,11271.2998046875,11584.007313887007,11759.796349839136,BEARISH
2019-07-25,11252.150390625,11552.401892623959,11739.888665164073,BEARISH
2019-07-26,11284.2998046875,11526.868360439534,11722.022435341463,BEARISH
2019-07-29,11189.2001953125,11494.709487570293,11701.127445536407,BEARISH
2019-07-30,11085.400390625,11455.727668813599,11676.981286520275,BEARISH
2019-07-31,11118.0,11423.56312892659,11655.060451754774,BEARISH
2019-08-01,10980.0,11381.319021409772,11628.58749286243,BEARISH
2019-08-02,10997.349609375,11344.75050597789,11603.833066059002,BEARISH
2019-08-05,10862.599609375,11298.831372968092,11574.765087365511,BEARISH
2019-08-06,10948.25,11265.442670780656,11550.195868253139,BEARISH
2019-08-07,10855.5,11226.400511658689,11522.952893027525,BEARISH
2019-08-08,11032.4501953125,11207.92905295905,11503.717493117132,BEARISH
2019-08-09,11109.650390625,11198.56918035581,11488.263881254697,BEARISH
2019-08-13,10925.849609375,11172.595887881445,11466.208419612356,BEARISH
2019-08-14,11029.400390625,11158.95822147607,11449.078692985402,BEARISH
2019-08-16,11047.7998046875,11148.371705591446,11433.342265993328,BEARISH
2019-08-19,11053.900390625,11139.374437499402,11418.462192449473,BEARISH
2019-08-20,11017.0,11127.719729166127,11402.718577059299,BEARISH
2019-08-21,10918.7001953125,11107.813106894353,11383.73746404962,BEARISH
2019-08-22,10741.349609375,11072.91182141632,11358.545783474145,BEARISH
2019-08-23,10829.349609375,11049.71542026953,11337.792992333003,BEARISH
2019-08-26,11057.849609375,11050.49010494624,11326.814820452299,CAUTION
2019-08-27,11105.349609375,11055.714819653742,11318.129910213973,CAUTION
2019-08-28,11046.099609375,11054.799085341481,11307.462055279113,BEARISH
2019-08-29,10948.2998046875,11044.65629670777,11293.377261138266,BEARISH
