,mcap_cr
BAYERCROP,21404.66
BFUTILITIE,1525.48
BEDMUTHA,316.96
BCLIND,860.78
BECTORFOOD,5802.55
BBTC,9842.72
BELLACASA,334.34
BCONCEPTS,279.44
BEARDSELL,91.77
BHAGCHEM,2562.13
BHAGYANGR,486.99
BEPL,2173.03
BGRENERGY,1930.75
BETA,1400.32
BEL,308180.28
BHARTIHEXA,75340.0
BHAGERIA,647.01
BHARATSE,985.06
BFINVEST,1321.76
BHARATWIRE,1100.78
BIRLACORPN,6856.12
BESTAGRO,483.82
BHARATRAS,2343.9
BIL,954.82
BEML,12350.58
BIGBLOC,663.0
BERGEPAINT,49353.77
BIKAJI,15727.52
BHARATFORG,78530.84
BHARATGEAR,139.74
BHANDARI,97.74
BHARTIARTL,1090190.65
BHEL,86393.47
BIOFILCHEM,45.38
BELRISE,16977.12
BIOCON,57089.52
BIRLACABLE,342.3
BILVYAPAR,16.89
BIRLAMONEY,624.82
BLAL,684.08
BIRLANU,1050.64
BLS,11049.79
BLISSGVS,2479.03
BLUEJET,6198.79
BLSE,1455.18
BLKASHYAP,1015.57
BLUESTARCO,31420.45
BLACKBUCK,10425.13
BLUEDART,11610.79
BOSCH-HCIL,3093.35
BOMDYEING,2125.86
BLBLIMITED,85.49
BLUSPRING,869.33
BOROSCI,990.65
BLUESTONE,6508.65
BMWVENTLTD,460.2
BODALCHEM,701.51
BOSCHLTD,94805.03
BLUECOAST,36.21
BOROLTD,2862.68
BOHRAIND,17.1
BORORENEW,5813.63
BUILDPRO,2465.79
BORANA,798.43
BROOKS,157.46
BVCL,80.57
BSHSL,917.15
BRITANNIA,131080.53
BRNL,155.81
BRIGHOTEL,2229.3
CANHLIFE,13733.47
BUTTERFLY,1081.44
BPCL,120675.53
BPL,220.54
CALSOFT,71.6
BSL,117.08
BSE,115803.64
CAPILLARY,3910.86
BSOFT,10364.75
BTML,112.83
BYKE,189.15
BRIGADE,16817.02
CAMPUS,7028.95
CAMS,16389.3
CAPACITE,1801.46
CANBK,115233.55
CAMLINFINE,1977.78
CARBORUNIV,16269.14
CAPTRUST,38.45
CARTRADE,8120.67
CAPLIPOINT,11921.98
CANTABIL,1990.82
CARERATING,4495.33
CAPITALSFB,1084.55
CANFINHOME,10972.16
CARRARO,2621.14
CCHHL,180.14
CCCL,665.67
CARYSIL,2270.76
