,mcap_cr
MANAKSTEEL,327.01
MARALOVER,161.13
MANINDS,2629.09
MANALIPETC,739.89
MANGLMCEM,2216.58
MANYAVAR,8965.71
MAHSCOOTER,13028.53
MANAKALUCO,153.61
MANKIND,82503.74
MANAKSIA,308.4
MANUGRAPH,35.35
MARATHON,2769.97
MANORAMA,7282.65
MANOMAY,416.0
MALUPAPER,53.82
MARINE,2285.82
MASFIN,5363.76
MAXESTATES,5432.11
MANAPPURAM,24028.22
JASH,2327.42
MARUTI,397121.89
MASKINVEST,38.31
MATRIMONY,891.92
MARICO,98620.16
MBEL,1521.8
MAXHEALTH,91922.33
MARKSANS,7619.95
MASTERTR,913.15
MARKOLINES,326.07
MAXIND,757.96
MAZDOCK,91349.44
MAYURUNIQ,2301.02
MCL,163.83
MBAPL,4659.56
MASTEK,4675.33
MBLINFRA,337.03
MAZDA,357.21
MEDANTA,26880.44
MCLOUD,1248.27
MCX,62177.79
MCLEODRUSS,370.35
MEDIASSIST,2399.44
MAWANASUG,365.98
METROBRAND,25623.65
MEGASTAR,298.38
MEDICO,313.76
MENONBE,608.59
MEDICAMEQ,310.55
MEIL,659.25
MGL,9415.0
MHLXMIRU,173.23
MEDPLUS,10042.56
MEESHO,66913.61
MFSL,50563.44
MIDWESTLTD,4403.3
MFML,24.72
MEP,15.41
METROPOLIS,8744.05
MIRZAINT,401.61
MHRIL,4987.86
MIRCELECTR,1039.84
MICEL,796.06
MIDHANI,5491.8
MITTAL,38.62
MGEL,368.11
MINDACORP,11801.0
MOHITIND,28.12
MODIRUBBER,283.96
MMFL,1989.44
MKPL,185.6
MODINATUR,402.12
MOKSH,75.79
MMTC,8311.41
MOLDTECH,336.21
MODIS,583.23
MINDTECK,532.05
MOIL,5966.19
MOTILALOFS,41273.63
MODISONLTD,408.58
MITCON,106.03
MMP,548.85
MOBIKWIK,1338.89
MORARJEE,20.4
MOL,1143.24
MONTECARLO,1033.6
MONARCH,2103.15
MONEYBOXX,417.88
MOSCHIP,3226.49
MOLDTKPAC,1737.04
MSPL,1778.61
MOTOGENFIN,84.51
MODTHREAD,158.71
MOTHERSON,112732.0
MPHASIS,42135.29
MUFTI,472.5
MOTISONS,1247.97
MPSLTD,2815.16
MRF,53603.81
MOREPENLAB,2071.81
MUFIN,1995.75
MRPL,31957.53
MUNJALAU,722.19
MTARTECH,11007.72
MSTCLTD,2869.39
MTNL,1545.39
MUKKA,618.6
MURUDCERA,163.11
MUKANDLTD,1777.24
MUNJALSHOW,465.9
MTEDUCARE,9.72
MSUMI,24583.57
NATCAPSUQ,160.83
MUKTAARTS,100.78
NAM-INDIA,52957.25
NAHARPOLY,574.48
MUTHOOTMF,2562.03
MUTHOOTCAP,303.19
MWL,777.86
MVGJL,708.87
NACLIND,3232.89
NAGAFERT,230.26
NAHARCAP,361.0
NAHARINDUS,398.48
MUTHOOTFIN,127690.79
NARMADA,124.62
NAVINFLUOR,30237.22
NAGREEKCAP,30.16
NAUKRI,64348.58
NAGREEKEXP,63.12
NAVKARCORP,1248.41
NAHARSPING,820.16
NATHBIOGEN,267.89
NAVKARURB,82.32
NATIONALUM,73878.04
NDGL,237.73
NAVNETEDUL,2872.71
NBCC,22434.3
NAVA,15850.9
NATCOPHARM,18408.86
NCC,8897.21
NAZARA,8702.96
NDRAUTO,1573.25
NCLIND,745.23
NECCLTD,127.57
NBIFIN,493.05
NDTV,782.89
NECLIFE,195.04
NDL,357.25
NDLVENTURE,414.87
NEOGEN,3152.08
NEULANDLAB,15967.43
NELCAST,1074.32
NESTLEIND,229720.09
NETWORK18,4622.65
NH,33003.72
NEPHROPLUS,5304.01
NGLFINE,1320.15
NFL,3407.86
NIBE,1371.24
NEXTMEDIA,26.9
NEWGEN,6199.61
NIBL,66.5
NILAINFRA,269.81
NETWEB,17980.78
NIPPOBATRY,220.61
NINSYS,713.78
NIRAJ,138.25
NESCO,7535.04
NHPC,75669.25
NKIND,41.25
NELCO,1280.46
NIITMTS,3764.56
NILKAMAL,1833.36
NGIL,45.91
NIITLTD,790.21
NOIDATOLL,58.04
NILASPACES,526.24
NIRAJISPAT,11.38
NITIRAJ,209.45
NITCO,1957.11
NIACL,20325.25
NORBTEAEXP,145.52
NORTHARC,3554.98
NLCINDIA,38631.7
NITINSPIN,2120.62
NOVAAGRI,213.98
NOCIL,2758.08
NMDC,68646.51
NIVABUPA,13408.81
NTPCGREEN,81920.78
NRBBEARING,2273.23
NRAIL,695.74
OAL,824.95
NPST,2355.39
NSIL,2614.78
NSLNISP,10408.93
NTPC,348740.59
ODIGMA,70.55
NURECA,237.76
NRL,334.36
NYKAA,70459.01
NUVOCO,10468.68
NUVAMA,20809.04
NUCLEUS,2087.99
OFSS,60862.55
OIL,78129.18
OCCLLTD,436.92
OBCL,121.56
OMFREIGHT,236.87
ONGC,361305.63
OLECTRA,8373.06
OILCOUNTUB,206.33
ORCHASP,66.41
ONELIFECAP,57.51
OMAXAUTO,212.68
OBEROIRLTY,54799.42
OMAXE,1337.73
ONESOURCE,16162.88
OPTIEMUS,2756.89
ONWARDTEC,525.55
OLAELEC,11897.12
ONEPOINT,1198.04
OMKARCHEM,8.17
OMINFRAL,826.65
ORIENTCEM,2715.4
ONMOBILE,466.78
ORCHPHARMA,2657.37
ORBTEXP,403.95
ORICONENT,1041.15
ORIENTELEC,3391.41
ORIENTLTD,60.86
ORIENTBELL,384.35
ORIENTHOT,1602.75
ORIENTALTL,45.57
ORIENTPPR,342.04
ORISSAMINE,2023.26
ORTEL,5.34
ORKLAINDIA,8272.09
ORIENTCER,457.02
ORTINGLOBE,11.55
OSWALAGRO,551.7
PAKKA,391.43
OSIAHYPER,57.93
OSWALSEEDS,96.04
PALREDTEC,36.72
MAPMYINDIA,4791.98
OSWALPUMPS,3546.98
ORIENTTECH,1163.75
PAISALO,3252.45
PACEDIGITK,3337.49
PANSARI,448.82
PAR,101.48
PANAMAPET,1620.56
PAGEIND,37884.78
PANACHE,454.1
PANACEABIO,1980.85
PARKHOSPS,8517.24
PARAS,5122.1
PARAGMILK,2418.72
PARASPETRO,81.88
PALASHSECU,83.6
PATANJALI,50872.17
PARSVNATH,257.86
PARACABLES,993.46
PATELRMART,550.51
PATELENG,2331.79
PARADEEP,11977.37
PAUSHAKLTD,990.59
PASHUPATI,1548.25
PARKHOTELS,2288.44
PAYTM,64388.6
PFC,132746.59
PENIND,1965.22
PASUPTAC,396.02
PDMJEPAPER,688.58
PFS,1702.42
PFOCUS,25700.81
PFIZER,22357.37
PDSL,4040.33
PENINLAND,547.02
PERSISTENT,81743.41
PATINTLOG,65.48
PAVNAIND,221.29
PIGL,224.9
PEARLPOLY,24.82
PGEL,12932.44
PCJEWELLER,7035.61
PINELABS,17542.22
OSWALGREEN,589.89
PETRONET,38203.5
PICCADIL,5320.35
PIDILITIND,129622.71
PGHH,31671.94
PCBL,10187.93
PILANIINVS,4881.42
PGIL,6857.76
PGHL,7932.18
PHOENIXLTD,54546.43
PNB,120097.71
PIONEEREMB,67.23
PITTIENG,2774.4
PILITA,164.26
PNC,27.76
PIRAMALFIN,39805.47
PLATIND,1137.44
PNCINFRA,4463.53
POKARNA,2701.51
PKTEA,249.09
PNBGILTS,1155.67
POLYCAB,103657.23
POCL,3315.28
PNBHOUSING,20437.51
PLAZACABLE,143.59
POLICYBZR,66093.36
PODDARMENT,219.85
PIXTRANS,1990.61
PNGJL,7722.44
PONNIERODE,240.88
POWERGRID,269671.02
PLASTIBLEN,336.61
POONAWALLA,31778.15
POWERINDIA,112963.05
POLYPLEX,2492.88
POLYMED,13539.39
POWERMECH,5986.23
PPL,433.28
PRABHA,2167.21
PRAENG,148.54
PRAJIND,6141.2
PPAP,274.61
PRECOT,657.54
PRAXIS,108.6
PIIND,42434.43
PRAKASHSTL,71.6
PRIMO,519.32
PRECWIRE,5487.47
PRAKASH,2200.98
PREMIER,9.16
PRECAM,1136.7
PPLPHARMA,18825.47
PREMIERENE,41199.33
PRITIKAUTO,197.15
PRIMESECU,937.17
PROSTARM,738.23
PREMEXPLN,2289.59
PROTEAN,1989.2
PRESTIGE,49620.12
PRIVISCL,11488.73
PRITI,47.84
PRSMJOHNSN,6225.51
PSPPROJECT,2494.28
PREMIERPOL,647.73
PRICOLLTD,6457.89
PTCIL,22078.03
PROZONER,705.33
PVRINOX,9254.36
PRUDMOULI,39.93
PRINCEPIPE,2486.77
PURVA,4192.57
RACLGEAR,1511.42
PSB,15888.65
PRUDENT,9274.22
PVSL,657.59
PUNJABCHEM,1161.25
RACE,207.45
PWL,25728.65
PTL,493.24
PTC,4890.06
PVP,647.22
QPOWER,6750.42
QUADFUTURE,1145.8
RAJRATAN,1886.79
RADIANTCMS,410.19
RAILTEL,8458.33
PYRAMID,528.97
QUESS,2671.54
RAJOOENG,952.16
RADIOCITY,188.32
QUICKHEAL,768.16
RAMANEWS,453.9
RAINBOW,11693.53
RADAAN,15.78
RADHIKAJWE,668.6
RAJMET,91.79
RAMAPHO,408.72
RAJESHEXPO,2579.29
RAIN,3803.4
RAMASTEEL,675.68
RADICO,35147.77
RAJTV,181.64
RAJRILTD,1143.64
RALLIS,4567.88
RAMCOCEM,21860.59
RAJSREESUG,91.52
RANEHOLDIN,1452.98
RBZJEWEL,491.24
RAYMONDREL,2736.59
RAYMONDLSL,4753.8
REDTAPE,6315.83
RAMRAT,2828.94
RAMKY,3109.06
RAMCOSYS,1368.19
RAMCOIND,2197.35
RATEGAIN,5828.13
RANASUG,185.66
RECLTD,85539.1
REFEX,2799.55
REDINGTON,15722.27
RBA,3558.46
RAYMOND,2335.96
RATNAMANI,15809.14
RATNAVEER,949.39
RCOM,226.68
REGENCERAM,109.09
RCF,6340.55
RBLBANK,18605.15
RELCHEMQ,86.77
RELAXO,6657.86
RELIABLE,120.67
RELTD,2378.78
REGAAL,693.28
RELINFRA,2997.1
RIIL,1008.08
RESPONIND,3461.11
REPL,138.62
RELIGARE,7452.75
RHIM,7516.65
REPRO,514.35
RKDL,46.61
RELIANCE,1827560.43
RKSWAMY,406.34
RGL,1110.6
RETAIL,14.64
REPCOHOME,2270.04
RENUKA,5994.48
RKEC,73.0
REMSONSIND,318.1
RHETAN,1959.52
ROML,60.42
RKFORGE,9126.89
RICOAUTO,1471.76
RITCO,505.1
RISHABH,1494.84
RMDRIP,1072.89
RML,1849.62
RPPINFRA,321.37
RPOWER,9363.39
ROSSARI,2370.96
RNBDENIMS,554.33
RPTECH,2403.36
RPEL,2877.99
RHL,298.35
RTNINDIA,3975.58
RITES,9167.52
RSWM,607.61
ROLLT,29.23
ROTO,993.48
ROSSELLIND,169.27
ROSSTECH,2740.01
ROLEXRINGS,3218.98
ROHLTD,859.95
RRKABEL,15083.75
RPGLIFE,3177.48
RPSGVENT,3378.78
ROUTE,2892.85
RPPL,116.32
RSSOFTWARE,62.43
RSYSTEMS,3152.04
RTNPOWER,4435.71
RUBFILA,345.41
RUDRA,
SAMMAANCAP,
RUBYMILLS,
SAILIFE,
SAIL,
RUBICON,
SANDESH,
SANDUMA,
SAKHTISUG,
SALONA,
SALASAR,
SAMPANN,
SAMHI,
RUSHIL,
RUPA,
SANGHVIMOV,
SALZERELEC,
RUSTOMJEE,
SAGILITY,
SANATHAN,
SAKSOFT,
SADBHIN,
SANDHAR,
SAMBHAAV,
SAMBHV,
SAKUMA,
SANGAMIND,
S&SPOWER,
SANSERA,
SANOFI,
SAGARDEEP,
SAATVIKGL,
SAHYADRI,
RUCHIRA,
SANCO,
SANGINITA,
SADHNANIQ,
RVHL,
SABEVENTS,
RUCHINFRA,
SANSTAR,
RVTH,
SAPPHIRE,
SALSTEEL,
SADBHAV,
SAKAR,
SAFARI,
SANOFICONR,
SANGHIIND,
RVNL,
SAGCEM,
SARDAEN,
SARLAPOLY,
SARVESHWAR,
SBICARD,
SATIN,
SASKEN,
SASTASUNDR,
SATIA,
SBILIFE,
SBC,
SBCL,
SAURASHCEM,
SBGLP,
SECURKLOUD,
SCI,
SAREGAMA,
SBFC,
SCODATUBES,
SCHNEIDER,
SCILAL,
SDBL,
SBIN,
SCHAEFFLER,
SCHAND,
SCPL,
SEAMECLTD,
SECMARK,
SEMAC,
SELMC,
SENCO,
SETCO,
SEJALLTD,
SEPC,
SETUINFRA,
SENORES,
SFL,
SETL,
SGIL,
SGL,
SERVOTECH,
SHANKARA,
SESHAPAPER,
SEYAIND,
SGMART,
SHAKTIPUMP,
SGFIN,
SHAH,
SHAHALLOYS,
SHALBY,
SHAILY,
SHALPAINTS,
SHANTI,
SHARDACROP,
SHANTIGOLD,
SHAREINDIA,
SHARDAMOTR,
SHEMAROO,
SHIVALIK,
SHANTIGEAR,
SHRIPISTON,
SHEKHAWATI,
SHILPAMED,
SHIVAMILLS,
SHIVAMAUTO,
SHILCTECH,
SHIVATEX,
SHRIRAMFIN,
SHYAMCENT,
SHRIRAMPPS,
SHOPERSTOP,
SHIVAUM,
SHK,
SHREEPUSHK,
SHREEJISPG,
SHRADHA,
SHREERAMA,
SHREECEM,
SHRENIK,
SHREDIGCEM,
SHREYANIND,
SHRINGARMS,
SIGACHI,
SHYAMTEL,
SHYAMMETL,
SIGMA,
SIRCA,
SIEMENS,
SIKKO,
SIL,
SIGNPOST,
SIGNATURE,
SILGO,
SILINV,
SICALLOG,
SIGIND,
SIS,
SILLYMONKS,
SINCLAIR,
SIMPLEXINF,
SILVERTUC,
SINDHUTRAD,
SIMBHALS,
SINTERCOM,
SIYSIL,
SKIPPER,
SNOWMAN,
SKFINDIA,
SITINET,
SMARTLINK,
SMSPHARMA,
SJS,
SMARTWORKS,
SJVN,
SMLT,
SKFINDUS,
SKYGOLD,
SKMEGGPROD,
SMCGLOBAL,
SOTL,
SMLMAH,
SOLARWORLD,
SOLARINDS,
SOFTTECH,
SOBHA,
SOMATEX,
SOLEX,
SOMICONVEY,
SOLARA,
SOMANYCERA,
SONACOMS,
SONAMLTD,
SONATSOFTW,
SOUTHWEST,
SOUTHBANK,
SPCENET,
SPECIALITY,
SPORTKING,
SPIC,
SPECTRUM,
SPANDANA,
SPMLINFRA,
SPENCERS,
SPARC,
SSWL,
SPAL,
SPLPETRO,
SPLIL,
STALLION,
SRF,
SREEL,
SRD,
SRHHYPOLTD,
SRM,
SRGHFL,
SSDL,
STARHEALTH,
STANLEY,
STAR,
STEELXIND,
STEELCITY,
STEELCAS,
STLTECH,
STARCEMENT,
STARPAPER,
STARTECK,
STEL,
STERTOOLS,
STOVEKRAFT,
SUMEETINDS,
STLNETWORK,
STCINDIA,
STUDDS,
SUBEXLTD,
SUDARSCHEM,
STYL,
SUKHJITS,
SUDEEPPHRM,
STYLAMIND,
STYLEBAAZA,
SUDARCOLOR,
SUBROS,
STYRENIX,
SULA,
SUMICHEM,
SUNDARAM,
SUMIT,
SUNFLAG,
SUNCLAY,
SUMMITSEC,
SUNTECK,
SUNDARMFIN,
SUPERSPIN,
SUNDRMBRAK,
SUNDRMFAST,
SURAJLTD,
SUNPHARMA,
SUPERHOUSE,
SUNDROP,
SUNTV,
SUPRAJIT,
SUPREME,
SUPREMEENG,
SUPREMEINF,
SUPRIYA,
SUPREMEIND,
SURAJEST,
SURYALAXMI,
SURAKSHA,
SURYAROSNI,
SUTLEJTEX,
SURANAT&P,
SURANASOL,
SUZLON,
SURYODAY,
SUVEN,
SVPGLOB,
SUYOG,
SUVIDHAA,
SWANCORP,
TALBROAUTO,
SVLL,
SWANDEF,
TARACHAND,
TANLA,
SWIGGY,
SYMPHONY,
SWELECTES,
SYRMA,
SYNGENE,
SWSOLAR,
SYNCOMF,
SWARAJENG,
TAINWALCHM,
TAJGVK,
SYSTMTXC,
TAKE,
TARC,
TARIL,
TARMAT,
TATACAP,
TARAPUR,
TASTYBITE,
TATACOMM,
TARSONS,
TATAPOWER,
TATAINVEST,
TATACONSUM,
TATAELXSI,
TATACHEM,
TCIFINANCE,
TCPLPACK,
TATASTEEL,
TATVA,
TATATECH,
TBZ,
TCI,
TBOTEK,
TCIEXP,
TEAMGTY,
TCS,
TECILCHEM,
TECHNOE,
TEGA,
TEJASNET,
TFCILTD,
TEXRAIL,
TERASOFT,
TICL,
TEMBO,
TDPOWERSYS,
TECHM,
TENNIND,
TEAMLEASE,
TEXMOPIPES,
TEXINFRA,
TIGERLOGS,
TIIL,
THEJO,
THANGAMAYL,
THELEELA,
THEINVEST,
THERMAX,
THYROCARE,
TFL,
THOMASCOTT,
THEMISMED,
THOMASCOOK,
TGBHOTELS,
TI,
TIINDIA,
TIJARIA,
TIMKEN,
TIL,
TITAN,
TIRUPATIFL,
TIMETECHNO,
TIRUMALCHM,
TIPSMUSIC,
TIPSFILMS,
TINNARUBR,
TOLINS,
TITAGARH,
TMCV,
TMB,
TMPV,
TNPETRO,
TNTELE,
TNPL,
TOKYOPLAST,
TORNTPOWER,
TPLPLASTEH,
TOTAL,
TPHQ,
TORNTPHARM,
TRANSWORLD,
TRIDENT,
TRANSRAILL,
TOUCHWOOD,
TREJHARA,
TRACXN,
TRAVELFOOD,
TRIGYN,
TRF,
TVSSRICHAK,
TREEHOUSE,
TRITURBINE,
TREL,
TRENT,
TTKHLTCARE,
TRUALT,
TRIVENI,
TRU,
TTKPRESTIG,
TVSELECT,
TSFINV,
TTL,
TTML,
TVSHLTD,
TVSMOTOR,
TVSSCS,
UBL,
TVVISION,
UFBL,
UDS,
UGROCAP,
UCAL,
UEL,
UFLEX,
UCOBANK,
UNIECOM,
UFO,
UGARSUGAR,
TVTODAY,
UJJIVANSFB,
ULTRACEMCO,
UMAEXPORTS,
UMESLTD,
UMIYA-MRO,
UNICHEMLAB,
UNIDT,
UNIENTER,
UNIINFO,
URJA,
UNITEDTEA,
UNIVASTU,
URAVIDEF,
VALIANTORG,
UNIPARTS,
UNIONBANK,
USHAMART,
UNITECH,
UNITDSPR,
UNIVCABLES,
UNIVPHOTO,
UPL,
UNOMINDA,
UNITEDPOLY,
UNIMECH,
URBANCO,
USK,
UTIAMC,
UYFINCORP,
VAISHALI,
UTLSOLAR,
UTKARSHBNK,
VAKRANGEE,
UTTAMSUGAR,
V2RETAIL,
VADILALIND,
VAIBHAVGBL,
VALIANTLAB,
VARROC,
VARDHACRLC,
VASWANI,
VEDL,
VARDMNPOLY,
VASCONEQ,
VCL,
VENTIVE,
VEEDOL,
VHL,
VENKEYS,
VHLTD,
VBL,
VENUSPIPES,
VIDYAWIRES,
VIDHIING,
VENUSREM,
VERANDA,
VERTOZ,
VGL,
VETO,
VESUVIUS,
VGUARD,
VIJAYA,
VIKASLIFE,
VIKASECO,
VIJIFIN,
VINDHYATEL,
VINCOFE,
VINYLINDIA,
VIPCLOTHNG,
VIKRAMSOLR,
VIKRAN,
VINATIORGA,
VMART,
VINNY,
VIPIND,
VINEETLAB,
VIMTALABS,
VISHNU,
VISHWARAJ,
VIYASH,
VIVIMEDLAB,
VIPULLTD,
VITAL,
VISAKAIND,
VIVIDHA,
VISASTEEL,
VIRINCHI,
VLEGOV,
VLSFINANCE,
VMM,
VMSTMT,
VPRPL,
VOLTAMP,
VRLLOG,
VRAJ,
VSTIND,
VSSL,
VSTTILLERS,
VSTL,
WAAREEENER,
WEIZMANIND,
VOLTAS,
WAAREEINDO,
WAAREERTL,
VTL,
WAKEFIT,
WALCHANNAG,
WABAG,
WCIL,
WANBURY,
WEALTH,
WEBELSOLAR,
WELCORP,
YATHARTH,
WINSOME,
WELENT,
WEWIN,
WENDT,
WESTLIFE,
WELINV,
WEWORK,
WELSPUNLIV,
WHEELS,
WINDLAS,
WINDMACHIN,
WEL,
WILLAMAGOR,
WORTHPERI,
WIPRO,
WIPL,
WOCKPHARMA,
WONDERLA,
XPROINDIA,
XCHANGING,
XELPMOC,
WSI,
WSTCSTPAPR,
XTGLOBAL,
YASHO,
WHIRLPOOL,
ZAGGLE,
ZENTEC,
ZEEMEDIA,
YESBANK,
ZEEL,
ZFCVINDIA,
ZODIACLOTH,
ZEELEARN,
ZENITHEXPO,
ZENITHSTL,
YATRA,
YUKEN,
ZODIAC,
ZENSARTECH,
ZIMLAB,
ZOTA,
ZUARIIND,
ZUARI,
ZYDUSWELL,
ZYDUSLIFE,
